Area,Location,No. of Bedrooms,Resale
1340,Nizampet,2,0
3498,Hitech City,4,0
1318,Manikonda,2,0
1295,Alwal,3,1
1145,Kukatpally,2,0
1230,Nizampet,2,0
1350,Manikonda,2,0
1400,Gachibowli,3,0
2240,Tellapur,3,0
1520,Gachibowli,2,1
1535,Kokapet,3,0
1150,Hyder Nagar,2,0
1285,Mehdipatnam,2,0
1897,Tellapur,3,1
1725,Narsingi,3,0
1665,Khajaguda Nanakramguda Road,3,1
1592,Kukatpally,3,0
1150,Madhapur,2,0
2240,Tellapur,3,0
1050,Puppalaguda,3,0
1340,Nizampet,2,0
3498,Hitech City,4,0
1318,Manikonda,2,0
1295,Alwal,3,1
1145,Kukatpally,2,0
1230,Nizampet,2,0
1350,Manikonda,2,0
1400,Gachibowli,3,0
2240,Tellapur,3,0
1520,Gachibowli,2,1
1535,Kokapet,3,0
1150,Hyder Nagar,2,0
1285,Mehdipatnam,2,0
1897,Tellapur,3,1
1725,Narsingi,3,0
1665,Khajaguda Nanakramguda Road,3,1
1592,Kukatpally,3,0
1150,Madhapur,2,0
2240,Tellapur,3,0
1050,Puppalaguda,3,0
1735,Puppalaguda,3,0
2800,Narsingi,3,0
1050,Begumpet,2,1
1230,Kukatpally,2,0
1175,Nizampet,2,0
1190,Nizampet,2,0
2956,Banjara Hills,4,1
680,AS Rao Nagar,2,1
1350,Pragathi Nagar Kukatpally,2,0
1970,Miyapur,3,1
1105,Mallampet,2,0
2005,Nanakramguda,3,1
1105,Mallampet,2,0
1406,Attapur,3,0
1545,Alwal,3,0
1495,Nanakramguda,3,0
1300,West Marredpally,3,1
1200,Nizampet,2,0
1450,Hitech City,3,1
1450,Banjara Hills,3,1
1912,Narsingi,3,0
1850,Manikonda,3,0
1300,Puppalaguda,3,0
1674,Kompally,3,1
1242,Sri Nagar Colony,3,1
850,Hakimpet,2,1
1895,Pocharam,3,1
1636,Nagole,3,0
1076,LB Nagar,2,1
1080,Meerpet,2,1
2100,Kachiguda,3,1
1265,Manikonda,2,0
1300,Masab Tank,3,0
1089,Miyapur,2,0
1400,Kondapur,2,0
850,Saroornagar,2,0
1100,Nizampet,2,0
1700,Uppal Kalan,3,1
2150,Tellapur,3,0
1195,Mallapur,2,1
1105,Miyapur,2,0
1205,Manikonda,2,0
1250,Rajendra Nagar,3,0
1340,Puppalaguda,2,0
950,Beeramguda,2,0
1100,Moosapet,2,0
1908,Kondapur,3,0
1675,Bachupally,3,0
1420,Toli Chowki,3,0
1535,Kokapet,3,0
910,Nanakramguda,2,0
1325,Lakdikapul,3,1
1717,Tarnaka,3,0
2400,West Marredpally,3,1
1150,Kondapur,2,0
1000,Toli Chowki,3,0
1200,Kistareddypet,2,0
1040,Pragathi Nagar Kukatpally,2,0
1181,Hafeezpet,2,0
2100,Kompally,3,0
1550,Shaikpet,3,0
1280,Amberpet,3,0
1945,Kokapet,3,0
3500,Hitech City,4,1
1000,Nagole,2,1
1200,Miyapur,2,1
2729,Gachibowli,4,0
1500,AS Rao Nagar,3,0
2165,Banjara Hills,3,0
1050,Kapra,2,1
1150,Bachupally,2,0
1822,West Marredpally,3,1
1270,Puppalaguda,1,0
1300,Trimalgherry,1,1
1600,Habsiguda,3,1
1818,Sanath Nagar,3,1
1282,Darga Khaliz Khan,2,0
1830,Manikonda,3,0
1815,Kokapet,3,0
1400,Puppalaguda,1,0
1220,Nizampet,2,0
1650,Nizampet,3,0
1680,Nizampet,3,0
1555,Nizampet,3,0
1685,Nizampet,3,0
1520,Nizampet,3,0
1225,Nizampet,2,0
1795,Nizampet,3,0
1435,Nizampet,2,0
1430,Nizampet,2,0
1265,Nizampet,2,0
2080,Manikonda,3,0
2092,Manikonda,3,0
1370,Manikonda,2,0
2232,Manikonda,3,0
2063,Manikonda,3,0
1400,Manikonda,2,0
1865,Manikonda,3,0
2270,Manikonda,3,0
1896,Manikonda,3,0
3031,Hitech City,4,0
1702,Manikonda,3,0
1350,Manikonda,2,0
1525,Manikonda,3,0
1225,Manikonda,2,0
1728,Manikonda,3,0
1725,Manikonda,3,0
1300,Manikonda,2,0
1600,Manikonda,3,0
1200,Manikonda,2,0
1640,Kothaguda,3,1
1830,Kompally,3,0
1835,Kompally,3,0
1570,Tellapur,3,0
1570,Tellapur,3,0
2240,Tellapur,3,0
2240,Tellapur,3,0
1895,Sanath Nagar,3,0
1600,Manikonda,3,1
1140,Kukatpally,2,0
1150,Kukatpally,2,0
1530,Kukatpally,3,0
1230,Nizampet,2,0
1300,Manikonda,2,0
1050,Gachibowli,2,0
1665,Gachibowli,3,0
1250,Gachibowli,2,0
1250,Gachibowli,2,0
1900,Gachibowli,3,0
1900,Gachibowli,3,0
1815,Gachibowli,2,0
1250,Gachibowli,2,0
1530,Moosapet,3,0
1530,Balanagar,3,0
1535,Kokapet,3,0
3380,Kokapet,4,0
3380,Kokapet,4,0
1875,Kokapet,3,0
1875,Kokapet,3,0
2540,Kokapet,3,0
2540,Kokapet,3,0
2630,Kokapet,4,0
2630,Kokapet,4,0
4500,Jubilee Hills,4,1
3380,Kokapet,4,1
2700,Manikonda,3,0
1792,Tellapur,3,1
1673,Tellapur,3,1
1665,Narsingi,3,0
1640,Narsingi,3,0
1640,Narsingi,3,0
1665,raidurgam,3,1
2200,Banjara Hills,3,1
1170,Pragathi Nagar Kukatpally,2,0
1170,Pragathi Nagar Kukatpally,2,0
1600,Banjara Hills,4,1
1644,Miyapur,3,0
1644,Miyapur,3,0
1687,Miyapur,3,0
1650,Miyapur,3,0
1554,Miyapur,3,0
1684,Miyapur,3,0
1650,Miyapur,3,0
970,Murad Nagar,2,0
970,Murad Nagar,2,0
2240,Tellapur,3,1
1050,Puppalaguda,3,0
2240,Tellapur,3,0
2240,Tellapur,3,0
1190,Nizampet,2,0
1100,Nizampet,2,0
1600,Chandanagar,3,0
1190,Nizampet,2,0
1100,Nizampet,2,0
1150,Hitech City,2,0
1415,Manikonda,3,0
1980,Banjara Hills,3,0
1100,Nizampet,2,0
1190,Nizampet,2,0
1100,Nizampet,2,0
1600,Chandanagar,3,0
1190,Nizampet,2,0
1100,Nizampet,2,0
1150,Hitech City,2,0
1200,Chandanagar,2,0
1100,Nizampet,2,0
1190,Nizampet,2,0
1190,Nizampet,2,0
1190,Nizampet,2,0
1100,Nizampet,2,0
1190,Nizampet,2,0
1190,Nizampet,2,0
1190,Nizampet,2,0
1905,Kukatpally,3,0
1925,Kukatpally,3,0
1482,Uppal Kalan,3,0
1100,Nizampet,2,0
1800,East Marredpally,3,0
1800,East Marredpally,3,0
1105,Mallampet,2,0
1105,Mallampet,2,0
1105,Mallampet,2,0
1980,Banjara Hills,3,0
1150,Hitech City,2,0
1415,Manikonda,3,0
1730,Kukatpally,3,0
1100,Aminpur,2,0
1100,Aminpur,2,0
1100,Aminpur,2,0
1100,Aminpur,2,0
1100,Aminpur,2,0
1100,Aminpur,2,0
1100,Aminpur,2,0
1100,Aminpur,2,0
1100,Aminpur,2,0
1100,Aminpur,2,0
1105,Mallampet,2,0
1100,Aminpur,2,0
1105,Mallampet,2,0
1105,Mallampet,2,0
1105,Mallampet,2,0
1105,Mallampet,2,0
1105,Mallampet,2,0
1165,Kondapur,2,0
1100,Aminpur,2,0
1535,Kondapur,3,0
1110,Aminpur,2,0
1105,Mallampet,2,0
2240,Tellapur,3,0
1278,Manikonda,2,0
1406,Attapur,3,0
1190,Mallapur,2,0
1215,Pragathi Nagar Kukatpally,2,0
1105,Mallampet,2,0
1150,Hitech City,2,0
1105,Mallampet,2,0
1105,Mallampet,2,0
1770,Kondapur,3,0
1210,Alwal,2,0
1010,Gajularamaram,2,0
1620,Serilingampally,3,0
1555,Gajularamaram,3,0
1190,Kukatpally,2,0
1730,Kukatpally,3,0
1165,Kondapur,2,0
1670,East Marredpally,3,0
1350,Hitech City,3,1
4780,Sri Nagar Colony,4,1
1836,Serilingampally,3,0
1970,West Marredpally,3,1
1970,West Marredpally,3,1
2000,Kukatpally,3,0
2000,Kukatpally,3,0
2000,Kukatpally,3,0
2000,Kukatpally,3,0
2000,Kukatpally,3,0
2000,Kukatpally,3,0
1210,Kondapur,2,0
1535,Kondapur,3,0
1315,Kondapur,2,0
680,AS Rao Nagar,1,0
1200,Malkajgiri,2,0
1200,Malkajgiri,2,0
1200,Malkajgiri,2,0
1200,Malkajgiri,2,0
1200,Malkajgiri,2,0
1200,Malkajgiri,2,0
1200,Malkajgiri,2,0
1200,Malkajgiri,2,0
1200,Malkajgiri,2,0
1200,Malkajgiri,2,0
1735,Kokapet,3,0
2500,Jubilee Hills,3,1
3959,Kondapur,4,1
1889,Narsingi,3,0
4500,Kondapur,4,1
2500,Jubilee Hills,3,1
1220,Alwal,2,0
1920,Miyapur,3,0
2700,West Marredpally,4,1
1300,Mettuguda,3,1
2100,Banjara Hills,3,1
1920,Miyapur,3,0
1925,Miyapur,3,0
1885,Kondapur,2,0
1010,Gajularamaram,2,0
1695,Kukatpally,3,0
1090,Kukatpally,2,0
3100,Jubilee Hills,3,0
2200,Jubilee Hills,3,0
1521,Kondapur,3,0
2490,Kokapet,3,1
1675,Narsingi,3,0
1675,Narsingi,3,0
1260,Nizampet,2,0
1105,Nizampet,2,0
1675,Narsingi,3,0
1675,Narsingi,3,0
1675,Narsingi,3,0
1675,Narsingi,3,0
1200,Nizampet,2,0
1200,Nizampet,2,0
1200,Nizampet,2,0
1200,Nizampet,2,0
1200,Nizampet,2,0
900,Begumpet,2,1
1710,Malkajgiri,3,1
1242,Sri Nagar Colony,3,1
1705,Malkajgiri,3,1
1050,Malkajgiri,2,1
1225,Mehdipatnam,3,0
1555,Gajularamaram,3,0
1675,Venkat Nagar Colony,3,0
1695,Kukatpally,3,0
1945,Kokapet,3,0
1000,Nizampet,2,0
1150,Hitech City,2,0
1330,Kondakal,3,0
2250,Kondapur,3,1
2240,Tellapur,3,0
4500,Banjara Hills,4,0
4500,Banjara Hills,4,0
4500,Banjara Hills,4,0
800,Gajularamaram,2,0
800,Gajularamaram,2,0
800,Gajularamaram,2,0
800,Gajularamaram,2,0
1150,Chandanagar,2,0
1840,Nanakramguda,3,0
1560,Gopanpally,3,0
1300,Serilingampally,2,0
3200,Somajiguda,4,1
2950,Banjara Hills,3,1
2950,Banjara Hills,3,1
1699,Gachibowli,4,0
1254,Nagole,2,0
1710,Nagole,3,0
4067,Kukatpally,4,1
1320,Uppal Kalan,2,1
1605,Puppalaguda,3,0
2120,Madhapur,3,1
1860,Nallagandla Gachibowli,3,0
1860,Nallagandla Gachibowli,3,0
1050,Krishna Reddy Pet,2,0
1550,Miyapur,3,0
3090,Hitech City,4,0
6718,Gachibowli,5,0
1195,Kondapur,2,0
1230,AS Rao Nagar,3,1
2956,Banjara Hills,4,1
2956,Banjara Hills,4,1
1076,LB Nagar,2,1
842,Bolarum,2,0
1200,Miyapur,2,1
4500,Jubilee Hills,4,1
4500,Jubilee Hills,4,1
3600,Jubilee Hills,4,1
3600,Jubilee Hills,4,1
3500,Banjara Hills,3,0
3500,Banjara Hills,3,0
1150,Madhapur,2,0
1150,Hitech City,2,0
1150,Hitech City,2,0
1245,Nanakramguda,2,0
1600,Nanakramguda,3,0
2270,Nanakramguda,3,0
1200,Manikonda,2,1
1418,Puppalaguda,3,0
1920,Miyapur,3,0
1925,Miyapur,3,0
1905,Miyapur,3,0
850,Gachibowli,2,1
1940,Nizampet,3,0
1150,Hitech City,2,0
1730,Kukatpally,3,0
1730,Kukatpally,3,0
1050,Mehdipatnam,2,1
1050,Mehdipatnam,2,1
1908,Kondapur,3,0
1090,Kukatpally,2,0
1905,Bachupally,3,0
1675,Bachupally,3,0
1615,Bachupally,3,0
1160,Bachupally,2,0
1800,Bachupally,3,0
1200,Bachupally,2,0
908,Mallapur,2,0
1100,Kukatpally,2,0
1380,Mehdipatnam,2,0
970,Hitech City,2,0
1160,Mallapur,2,0
840,Masab Tank,2,0
1100,Zamistanpur,2,0
931,Madhura Nagar,2,0
1670,Jubilee Hills,3,0
2000,Kukatpally,3,0
2000,Kukatpally,3,1
1554,Miyapur,3,0
1650,Miyapur,3,0
1554,Miyapur,3,0
1900,Jubilee Hills,3,0
1900,Jubilee Hills,3,0
1900,Jubilee Hills,3,0
1900,Jubilee Hills,3,0
1740,Kukatpally,3,0
3145,Madhapur,3,1
963,Beeramguda,2,1
909,Ghansi Bazaar,3,0
850,Chintalakunta,2,0
950,Chinthal Basthi,2,0
1730,Kukatpally,3,0
1555,Gajularamaram,3,0
1180,Gajularamaram,2,0
1675,Kukatpally,3,0
845,Nallakunta,2,0
1100,Bowenpally,2,0
1905,Nallakunta,3,0
1460,Nallakunta,3,0
1460,Nallakunta,3,0
1175,Malkajgiri,2,1
1360,Kompally,2,0
1220,Kondapur,2,0
1885,Kondapur,3,0
1165,Kondapur,2,0
1295,Jubilee Hills,2,0
1295,Jubilee Hills,2,0
1295,Jubilee Hills,2,0
1295,Jubilee Hills,2,0
1295,Jubilee Hills,2,0
1295,Jubilee Hills,2,0
1670,Jubilee Hills,3,0
1670,Jubilee Hills,3,0
1200,Bandlaguda Jagir,2,0
1200,Bandlaguda Jagir,2,0
1670,Jubilee Hills,3,0
2460,Nanakramguda,3,0
1040,Saroornagar,2,0
1107,Beeramguda,2,0
1050,Begumpet,2,0
1050,Begumpet,2,0
2900,Banjara Hills,3,0
1150,Hitech City,2,0
1040,Saroornagar,2,0
1107,Beeramguda,2,0
850,Beeramguda,2,0
1050,Begumpet,2,0
1050,Begumpet,2,0
1080,Beeramguda,2,0
1080,Beeramguda,2,0
1100,Boduppal,2,0
1100,Boduppal,2,0
1745,Somajiguda,3,1
970,Nagole,2,0
1090,Kukatpally,2,0
1435,Kukatpally,3,0
684,Beeramguda,1,0
1040,Beeramguda,2,0
850,Beeramguda,2,0
1150,Beeramguda,2,0
1605,Neknampur,3,0
850,Beeramguda,2,0
1150,Beeramguda,2,0
1605,Neknampur,3,0
1000,Mallapur,2,0
1090,Kukatpally,2,0
1435,Kukatpally,3,0
1635,Nagole,3,0
1585,Nagole,3,0
1730,Appa Junction Peerancheru,3,0
1665,Appa Junction Peerancheru,3,0
1482,Appa Junction Peerancheru,2,0
1385,Appa Junction Peerancheru,2,0
1000,Ambedkar Nagar,2,0
1035,Gachibowli,2,1
1250,Toli Chowki,2,0
1250,Toli Chowki,2,0
1000,Hafeezpet,2,0
1260,Saroornagar,2,0
950,Beeramguda,2,0
850,Gachibowli,2,1
1260,Nanakramguda,2,1
1050,Saroornagar,2,0
1250,Bachupally,2,0
1908,Kondapur,3,0
1555,Gajularamaram,3,0
1720,Narsingi,3,0
1327,Rajendra Nagar,3,0
1110,Rajendra Nagar,3,0
941,Rajendra Nagar,2,0
1200,Boduppal,2,0
1200,Manikonda,1,0
1390,Vanasthalipuram,3,0
540,Amberpet,1,0
1717,Gachibowli,2,0
1717,Gachibowli,2,0
900,Mehdipatnam,2,0
2150,Bandlaguda Jagir,3,0
810,Moula Ali,2,0
1985,Bandlaguda Jagir,3,0
1555,Kondapur,3,0
810,Moula Ali,2,0
1985,Bandlaguda Jagir,3,0
1555,Kondapur,3,0
1050,Mehdipatnam,2,0
1014,Mallapur,2,0
1085,Kompally,2,0
1100,Kompally,2,0
1050,Nizampet,2,0
1050,Nizampet,2,0
1860,Kukatpally,3,0
1860,Kukatpally,3,0
3000,Banjara Hills,3,1
3000,Banjara Hills,3,1
955,Nallagandla Gachibowli,2,0
1155,Gandipet,2,0
1120,Nizampet,2,0
850,Nizampet,2,0
1000,Kachiguda,2,0
1000,Kachiguda,2,0
1000,Kachiguda,2,0
1000,Kachiguda,2,0
1000,Kachiguda,2,0
966,Narsingi,2,0
1000,Kachiguda,2,0
1000,Kachiguda,2,0
1050,Mehdipatnam,2,0
1575,Alwal,3,0
1700,Nacharam,3,0
1700,Nacharam,3,0
1535,Pragathi Nagar Kukatpally,3,0
940,Nizampet,2,0
1060,Nizampet,2,0
1015,Nizampet,2,0
1015,Nizampet,2,0
1600,Narsingi,3,0
1150,Kondapur,2,1
1500,Narsingi,2,0
1000,Nizampet,2,0
1208,Kompally,2,0
1000,Toli Chowki,2,1
1150,Kondapur,2,1
1500,Narsingi,2,0
1700,Kukatpally,3,0
1170,Masab Tank,2,0
1090,Kukatpally,2,0
1090,Kukatpally,2,0
1050,Nizampet,2,0
1425,Malkajgiri,3,0
1060,Bolarum,2,0
1130,Bachupally,2,0
930,Nizampet,2,0
1085,Nizampet,2,0
1420,Toli Chowki,3,0
1120,Nizampet,2,0
1506,Appa Junction,2,0
1506,Appa Junction,2,0
1650,Nagole,3,0
1650,Nagole,3,0
1200,Nizampet,2,0
1145,Alwal,2,0
1875,Kokapet,3,0
2540,Kokapet,3,0
2630,Kokapet,4,0
1145,Alwal,2,0
2450,Kondapur,3,0
1425,Alwal,3,0
1720,Mehdipatnam,3,0
2405,Nanakramguda,3,0
1725,Chandanagar,3,0
1730,Kukatpally,3,0
4070,Madhapur,4,1
2000,Miyapur,3,1
1295,Kondapur,2,1
1490,Kondapur,3,1
1905,Miyapur,3,0
1905,Miyapur,3,0
1525,Kondapur,3,0
1120,Manikonda,2,0
1080,Qutub Shahi Tombs,3,0
950,Toli Chowki,2,0
2700,Manikonda,3,0
1755,Narsingi,3,0
1755,Narsingi,3,0
1216,Puppalaguda,2,0
1210,Nallagandla Gachibowli,2,0
1525,Kondapur,3,0
1340,Puppalaguda,2,0
1216,Puppalaguda,2,0
1725,Chandanagar,2,0
2070,Banjara Hills,3,1
3025,Banjara Hills,4,1
1670,Jubilee Hills,3,0
1150,East Marredpally,2,0
1150,Kondapur,2,0
1600,Narsingi,3,0
2786,Narsingi,3,0
1525,Kondapur,3,0
1555,Gajularamaram,3,0
1315,Kondapur,2,0
2050,Kondapur,3,0
1675,Kukatpally,3,0
1725,Gandipet,3,0
1770,Kondapur,3,0
3200,Jubilee Hills,3,0
1900,Jubilee Hills,3,0
1880,Kondapur,3,0
2050,Kondapur,3,0
3600,Nanakramguda,3,1
2665,Gandipet,3,0
1216,Kukatpally,2,0
3031,Banjara Hills,4,0
2220,Kokapet,3,0
3448,Gachibowli,3,1
3015,Madhapur,3,0
1430,Gachibowli,3,0
2007,Abids,5,1
1695,Kukatpally,3,0
1815,Kondapur,3,0
1630,Kondapur,3,0
1620,Chandanagar,3,0
1200,Kistareddypet,2,0
1650,West Marredpally,2,1
1550,Kukatpally,3,0
1535,Kondapur,3,0
1165,Kondapur,2,0
1400,Malkajgiri,3,1
2600,Somajiguda,3,1
1100,Miyapur,2,0
1010,Malkajgiri,2,1
1195,Kondapur,2,0
970,Kukatpally,2,0
1050,Kompally,2,0
1130,Alwal,2,0
2300,Bolarum,3,0
1015,Alwal,2,1
2960,Shaikpet,4,0
1190,Mallapur,2,0
1190,Mallapur,2,0
1340,Puppalaguda,2,0
1875,Shaikpet,3,1
1900,Jubilee Hills,3,0
1920,West Marredpally,4,1
1330,Alwal,2,0
2350,Hitech City,3,1
1120,Pragathi Nagar Kukatpally,2,0
1924,Madhapur,3,1
1575,Sri Nagar Colony,3,0
2350,Hitech City,3,1
3000,Dilsukh Nagar,4,1
1350,Quthbullapur,3,1
1580,Puppalaguda,3,0
1200,Malkajgiri,2,1
1050,Gajularamaram,2,0
1090,Kukatpally,2,0
1730,Kukatpally,3,0
1535,Kondapur,3,0
1700,Kukatpally,3,0
1050,Alwal,2,1
1300,Alwal,2,0
1770,Kondapur,3,0
1050,Alwal,2,1
1300,Alwal,2,0
1770,Kondapur,3,0
1430,Kompally,3,0
1800,Kukatpally,3,0
1530,Alwal,3,1
1000,Miyapur,2,0
1905,Kukatpally,3,0
1885,Kondapur,3,0
1885,Kondapur,3,0
1885,Kondapur,3,0
1560,Moosapet,3,1
1190,Hafeezpet,2,1
1450,Kukatpally,3,0
1450,Kukatpally,3,0
1050,Gajularamaram,2,0
1875,Kondapur,3,1
1555,Gajularamaram,3,0
900,Sainikpuri,2,0
1418,Puppalaguda,3,0
1418,Puppalaguda,3,0
1125,Nizampet,2,0
1515,Nizampet,3,0
1600,Serilingampally,3,0
1260,Serilingampally,2,0
2848,Gachibowli,4,0
1492,Gachibowli,2,0
1283,Gachibowli,2,0
1410,Gachibowli,2,0
2000,Kondapur,3,0
1463,Manikonda,3,0
1730,Kukatpally,3,0
1600,Kondapur,3,0
2600,Manikonda,3,1
840,West Marredpally,1,1
1725,Manikonda,3,0
1980,Banjara Hills,3,0
2085,Banjara Hills,3,0
2580,Banjara Hills,3,0
2185,Banjara Hills,3,0
1920,Banjara Hills,3,0
2210,Banjara Hills,3,0
1111,Qutub Shahi Tombs,3,1
1161,Nizampet,2,0
1500,Sainikpuri,3,0
1500,Sainikpuri,3,0
2021,Puppalaguda,2,0
1300,Manikonda,3,0
1000,Malkajgiri,2,1
1060,East Marredpally,2,1
9400,Kukatpally,8,1
950,Nizampet,2,1
1350,Kapra,3,1
1600,Nagole,3,1
1000,Nacharam,2,1
1450,Nacharam,3,1
1050,Kapra,2,1
1150,Mallapur,2,1
1900,Mallapur,3,1
1465,Nizampet,3,0
1228,Nizampet,2,0
1165,Nizampet,2,0
1106,Nizampet,2,0
1315,Mallapur,3,1
3200,West Marredpally,3,1
1250,Nacharam,3,1
1050,Toli Chowki,2,1
1900,Mallapur,2,1
1096,Beeramguda,2,0
1765,Habsiguda,3,1
2021,Puppalaguda,2,0
1005,KTR Colony,2,1
1750,Mallapur,3,1
1100,Nizampet,2,0
1100,Nizampet,2,0
1200,Nizampet,2,0
1160,Nizampet,2,0
1060,Nizampet,2,0
1506,AS Rao Nagar,3,0
1165,Nizampet,2,0
1471,Tarnaka,3,1
3200,West Marredpally,3,1
1350,Nagole,3,1
1850,Malkajgiri,3,0
1600,Mallapur,2,1
1250,Nacharam,3,1
1050,Toli Chowki,2,1
1900,Mallapur,2,1
1150,Mallapur,2,1
1700,West Marredpally,3,1
1765,Habsiguda,3,1
1050,Mallampet,1,0
1050,Nizampet,2,1
1750,Mallapur,3,1
1150,Nizampet,2,0
990,East Marredpally,2,1
1150,Nagole,2,1
2400,Banjara Hills,3,1
1200,Nizampet,2,0
1060,Nizampet,2,0
1160,Nizampet,2,0
1165,Nizampet,2,0
1278,Manikonda,2,0
2021,Puppalaguda,2,0
1765,Habsiguda,3,1
2021,Puppalaguda,2,0
1005,KTR Colony,2,1
3180,Gachibowli,3,1
3180,Kondapur,3,1
1000,Nizampet,2,1
987,East Marredpally,2,1
1075,West Marredpally,2,1
600,Kukatpally,1,1
1400,Habsiguda,3,1
1300,Puppalaguda,3,0
1300,Puppalaguda,3,0
1490,Manikonda,3,0
1275,East Marredpally,2,1
1096,Beeramguda,2,0
1100,Nizampet,2,0
1000,Mallapur,2,1
1050,Nizampet,2,0
1100,Nizampet,2,0
1100,Nizampet,2,0
1450,Bollaram,3,1
1376,Appa Junction Peerancheru,2,0
1972,Appa Junction Peerancheru,3,0
1180,Appa Junction Peerancheru,2,0
1554,Appa Junction Peerancheru,3,0
1628,Appa Junction Peerancheru,3,0
1274,Appa Junction Peerancheru,2,0
1784,Appa Junction Peerancheru,3,0
1788,Appa Junction Peerancheru,3,0
1400,Appa Junction Peerancheru,2,0
1966,Appa Junction Peerancheru,3,0
1502,Appa Junction Peerancheru,3,0
1707,Appa Junction Peerancheru,3,0
1642,Appa Junction Peerancheru,3,0
1487,Appa Junction Peerancheru,2,0
1633,Appa Junction Peerancheru,3,0
1800,Appa Junction Peerancheru,3,0
1877,Appa Junction Peerancheru,3,0
1524,Appa Junction Peerancheru,2,0
1326,Appa Junction Peerancheru,2,0
1465,Appa Junction Peerancheru,2,0
1597,Appa Junction Peerancheru,3,0
1265,Miyapur,2,0
1945,Miyapur,3,0
1435,Kukatpally,3,0
1925,Miyapur,3,0
1265,Miyapur,2,0
1905,Kukatpally,3,0
1090,Kukatpally,2,0
1230,Kukatpally,2,0
1920,Kukatpally,3,0
1905,Miyapur,3,0
1170,Kukatpally,1,0
1385,Appa Junction,2,0
1390,Appa Junction,2,0
1282,Appa Junction,2,0
1020,Gajularamaram,1,0
1935,Aminpur,3,0
1090,Kukatpally,2,0
1630,Kondapur,3,0
1695,Kukatpally,3,0
1282,Appa Junction,2,0
1390,Appa Junction,2,0
1385,Appa Junction,2,0
