Area,Location,No. of Bedrooms,Resale
1170,Madinaguda,2,0
4146,Gachibowli,5,0
4146,Gachibowli,5,0
4146,Gachibowli,5,0
4146,Gachibowli,5,0
2875,Attapur,4,1
2744,Padmarao Nagar,4,1
2192,Kondapur,3,0
550,Moula Ali,1,0
2595,Madhapur,4,1
1875,Shaikpet,3,1
1460,Narsingi,3,0
1680,Kokapet,3,0
1155,Bachupally Road,2,0
1175,Bachupally Road,2,0
1650,Serilingampally,3,0
1515,Suchitra,3,0
1500,Alkapur township,5,0
1050,Kondapur,3,0
1600,Gachibowli,3,0
1511,Nallagandla Gachibowli,2,0
2141,Banjara Hills Road Number 12,3,1
1670,Narsingi,3,0
1155,Bachupally Road,2,0
1155,Bachupally Road,2,0
1175,Bachupally Road,2,0
1931,Kukatpally,3,0
1782,Kukatpally,3,0
1441,Kukatpally,2,0
1441,Kukatpally,2,0
1515,Suchitra,3,0
1165,ECIL Main Road,2,0
1740,Kukatpally,3,0
1360,Kukatpally,2,0
1110,Pragathi Nagar Kukatpally,2,0
1675,Chandanagar,3,1
1725,Gopanpally,3,0
1255,Nagole,2,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1505,Kondapur,3,1
1650,Serilingampally,3,0
1090,Kukatpally,2,0
1695,Kukatpally,3,0
1315,Kondapur,2,0
1885,Kondapur,3,0
1180,Gajularamaram,2,0
1555,Gajularamaram,3,0
1728,Gachibowli,3,1
1189,Panchavati Colony Manikonda,2,1
1100,Manikonda,2,0
1782,Kukatpally,3,0
1782,Kukatpally,3,0
1735,Kukatpally,3,0
2192,Kondapur,3,0
1075,Kompally,2,0
1265,Kompally,2,0
1782,Kukatpally,3,0
2700,Sun City,3,0
4829,Gachibowli,4,0
1279,Kukatpally,2,0
1216,Kukatpally,2,0
1441,Kukatpally,2,0
1200,Narsingi,2,0
1150,Bachupally,2,0
1475,Bachupally,3,0
1100,Kompally,2,0
1470,Chandanagar,3,0
1780,Serilingampally,3,0
2460,Manikonda,3,1
2540,Kokapet,3,1
1130,Nanakramguda,2,0
1495,Nanakramguda,3,0
1395,Nanakramguda,2,0
1275,Nanakramguda,2,0
1875,Kokapet,3,0
2630,Kokapet,4,0
2630,Kokapet,4,0
4700,Jubilee Hills,4,0
4300,Jubilee Hills,4,0
1700,Tellapur,3,1
2630,Kokapet,4,0
1230,Bachupally,2,0
1000,Pragati Nagar,2,0
1150,Bachupally Road,2,0
1195,Nallakunta,3,0
1050,New Maruthi Nagar,2,1
1122,Tarnaka,2,0
1441,Kukatpally,2,0
1710,Kondapur,3,0
1600,Nanakramguda,3,0
2020,Kondapur,3,0
3190,Madhapur,4,1
1175,Bachupally Road,2,0
1175,Bachupally Road,2,0
1155,Bachupally Road,2,0
1155,Bachupally Road,2,0
1155,Bachupally Road,2,0
1175,Bachupally Road,2,0
1220,Bachupally Road,2,0
1155,Bachupally Road,2,0
1155,Bachupally Road,2,0
1155,Bachupally Road,2,0
1155,Bachupally Road,2,0
1175,Bachupally Road,2,0
1155,Bachupally Road,2,0
1165,Kondapur,2,0
1775,Bandlaguda Jagir,3,0
1662,Gachibowli,3,0
1770,Nanakramguda,3,0
3493,Hitech City,4,0
1050,Kukatpally,2,1
1515,Suchitra,3,0
2815,Kondapur,3,0
2191,Kondapur,3,0
2813,Kondapur,3,0
1535,Kokapet,3,0
1535,Kokapet,3,0
1535,Kokapet,3,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
2630,Kokapet,4,0
4146,Gachibowli,5,0
4146,Gachibowli,5,0
4146,Gachibowli,5,0
4146,Gachibowli,5,0
1050,Madhavaram Nagar Colony,2,0
4800,Jubilee Hills,4,0
2607,Kondapur,3,0
1535,Kokapet,3,0
1185,Gajulramaram Kukatpally,2,0
1730,Nanakramguda,3,1
3490,Madhapur,4,1
1834,Manikonda,3,1
2025,Miyapur Bachupally Road,4,1
1000,Pragathi Nagar Road,2,0
1580,Hitech City,3,0
2615,Gachibowli,3,0
2191,Kondapur,3,1
1190,nizampet road,2,0
4400,Kukatpally,4,1
1270,Nallagandla Gachibowli,2,0
2100,Kokapeta Village,3,1
1100,Kompally,2,0
8500,LB Nagar,6,0
900,Nallakunta,2,1
3448,Gachibowli,4,0
1865,Hitech City,3,1
1589,Alwal,3,0
2025,Somajiguda,3,1
2191,Kondapur,3,0
2270,Nanakramguda,3,0
1615,Kondapur,3,1
1745,Nanakramguda,3,0
960,Nanakramguda,2,1
1190,Bachupally,2,0
2615,Nanakramguda,3,0
2815,Kondapur,3,0
2800,Kondapur,3,0
2600,Kondapur,3,0
2452,Kondapur,3,0
2815,Kondapur,3,0
1604,Madinaguda,3,0
1050,HMT Hills,2,1
1620,Gajularamaram,3,0
2540,Kokapet,3,0
2160,Hitech City,3,1
1630,Toli Chowki,3,0
1050,Tilak Nagar,2,1
1150,Hitech City,2,0
2265,Hitech City,3,1
1035,Chititra Medchal,2,1
1500,Madhapur,3,1
1688,Somajiguda,3,1
1100,Pragathi Nagar,2,0
1875,Kokapet,3,0
1050,BK Guda Road,2,1
1800,Appa Junction Peerancheru,3,1
2625,Madhapur,3,1
3448,Gachibowli,4,0
2385,Shaikpet,3,1
1800,Nanakramguda,3,1
2607,Kondapur,3,1
3240,Madhapur,4,1
2865,Madhapur,4,1
1125,Pragathi Nagar Kukatpally,2,0
2050,Serilingampally,3,0
3300,Banjara Hills,4,0
1300,muthangi,3,0
1240,Madinaguda,2,0
1665,Nallagandla Gachibowli,3,0
1265,Nallagandla Gachibowli,2,0
2644,Nanakramguda,3,0
1000,Beeramguda,2,0
1550,Central Excise Colony Hyderabad,3,1
4500,Miyapur,5,1
1640,Madinaguda,3,0
3450,Somajiguda,4,1
1150,Madhapur,2,0
1150,Beeramguda,2,0
1770,Kondapur,3,0
1960,Himayat Nagar,3,1
980,Bowenpally,2,1
1195,Kondapur,2,0
1200,Ashok Nagar,2,0
1590,Ashok Nagar,3,0
2220,Nanakramguda,3,1
1592,Kukatpally,3,0
1380,Barkatpura,3,1
4375,Madhapur,5,1
1640,Madinaguda,3,0
1240,Madinaguda,2,0
1300,Isnapur,3,0
1240,Madinaguda,2,0
1160,Nacharam,2,0
1695,Kukatpally,3,0
1090,Kukatpally,2,0
1275,Gachibowli,2,1
1350,Kokapet,2,1
1250,D D Colony,3,1
2500,DD Colony,3,1
3258,Nanakramguda,4,1
1165,Miyapur,2,0
1250,Ramnagar Gundu,3,1
1300,Patancheru Shankarpalli Road,3,0
950,Patancheru,2,0
1100,BHEL,3,0
1007,Jhangir Pet,2,0
1640,Gajulramaram Kukatpally,3,0
2925,Serilingampally,4,0
1710,Kondapur,3,1
2664,Nanakramguda,3,0
2000,Nanakramguda,3,0
1150,Almasguda,2,0
1150,Pragathi Nagar,2,0
1145,Ashok Nagar,2,0
1900,Kondapur,3,1
1580,Hitech City,3,1
2192,Kondapur,3,0
2595,Hitech City,3,1
960,Himayat Nagar,2,1
1665,Madinaguda,3,0
950,Patancheru,2,0
1735,Kukatpally,3,0
1360,Kukatpally,2,0
1208,Kukatpally,2,0
1740,Kukatpally,3,0
1200,Bachupally,2,0
1240,Bachupally,2,0
1240,Bachupally,2,0
1200,Bachupally,2,0
1600,Bachupally,3,0
1270,Bachupally,2,0
1080,Alwal,2,0
1020,Allwyn Colony,2,0
1145,Miyapur Bachupally Road,2,0
1575,Chandanagar,3,0
1700,Kukatpally,3,0
1730,Kukatpally,2,0
1090,Kukatpally,2,0
2300,BK Guda Road,3,0
1147,Adibatla,2,0
3900,Banjara Hills,4,0
3765,Banjara Hills,4,0
2021,Ashok Nagar,3,0
2000,Nanakramguda,3,0
1125,Gajulramaram Kukatpally,2,0
2220,Nanakramguda,3,1
2230,Nanakramguda,3,1
1834,Manikonda,3,1
4070,Madhapur,4,1
1834,Manikonda,3,1
4700,Kukatpally,4,1
1314,Manikonda,2,1
3355,Gachibowli,4,1
4146,Gachibowli,5,1
3448,Gachibowli,4,1
1200,Patancheru,3,0
1300,Patancheru,3,0
1600,DD Colony,3,1
7600,Kukatpally,8,1
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1513,Pragathi Nagar Kukatpally,3,0
1515,Pragathi Nagar Kukatpally,3,0
1557,Sanath Nagar,3,1
1300,Patancheru,3,0
2025,Sri Nagar Colony,3,1
1260,Sri Nagar Colony,2,1
1834,Manikonda,3,1
1580,Tellapur,3,1
1860,Nanakramguda,3,0
1005,financial District,2,0
1200,Beeramguda Road,2,0
1057,Bandlaguda Jagir,2,1
2122,Ashok Nagar,3,0
910,Patancheru,2,0
1375,Pati,3,0
1001,Nagole,2,0
2000,Kondapur,3,0
1615,Kondapur,3,1
3085,Jubilee Hills,3,1
2250,Hitech City,4,0
3195,Kondapur,3,0
1735,Kokapet,3,0
3450,Madhapur,4,1
1500,Kondapur,3,0
1175,Bachupally Road,2,0
1155,Bachupally Road,2,0
910,Patancheru,2,0
1005,Karimnagar,2,0
1150,Bagh Amberpet,2,1
1002,Miyapur,2,0
1013,Miyapur,2,0
1005,Miyapur,2,0
1007,Miyapur,2,0
1012,Miyapur,2,0
1010,Adibatla,2,0
1010,Nagole,2,0
1400,Nagole,3,0
1665,Kollur Road,3,0
1002,Medchal,2,0
1050,Adibatla,2,0
1350,Sun City Padmasri Estates,3,0
2200,Chaitanyapuri,3,1
2000,Chaitanyapuri,3,1
1600,Chaitanyapuri,3,1
1691,Chaitanyapuri,3,1
1500,Chaitanyapuri,3,1
1175,Pragathi Nagar Kukatpally,2,0
1600,Chandanagar,3,0
1150,Chandanagar,2,0
1230,Kukatpally,2,0
1090,Kukatpally,2,0
1190,Miyapur,2,0
1920,Miyapur,3,0
1905,Miyapur,3,0
1295,Kondapur,2,0
3380,Kokapet,4,1
3615,Somajiguda,4,0
2600,Nandagiri Hills,3,1
2100,Whitefield,3,0
3025,Film Nagar,3,0
2600,Nandagiri Hills,3,0
3590,Sri Nagar Colony,3,0
3590,Sri Nagar Colony,3,0
3875,Somajiguda,3,0
4290,Somajiguda,3,0
1765,Balanagar,3,0
1940,Balanagar,3,0
2445,Jubilee Hills,3,0
1830,Kokapet,3,1
1125,Kismatpur,4,1
1300,Patancheru,3,0
910,Patancheru,2,0
1550,Pati,3,0
1650,Patancheru,3,0
1650,Patancheru,3,0
1475,Pati,3,0
1475,Pati,3,0
1500,Patancheru,2,0
1550,Pati,3,0
1400,Pati,3,0
1350,Patancheru,2,0
1475,Pati,3,0
1650,Pati,3,0
1375,Patancheru,2,0
1475,Pati,3,0
1000,Dr A S Rao Nagar Rd,2,0
1950,Tellapur,3,1
1050,Dullapally,2,0
1535,Kondapur,3,0
1550,KPHB,3,0
1510,Vivekananda Nagar Colony,3,0
920,Boduppal,3,1
1742,Gachibowli,3,1
3765,Banjara Hills,4,1
2750,Gachibowli,3,1
1160,Ameenpur,2,0
2450,Manikonda,4,0
4700,Jubilee Hills,4,0
1100,LB Nagar,2,0
1250,financial District,2,0
1250,Kollur Road,2,0
1200,Adibatla,2,0
1006,Miyapur,2,0
1200,Kollur Road,2,0
1250,Kollur Road,2,0
1250,Kollur Road,2,0
1205,Kollur Road,2,0
1206,Kollur Road,2,0
1208,Kollur,2,0
1202,Kollur Road,2,0
1203,Kollur Road,2,0
1104,Kondapur,2,0
1600,Kondapur,3,0
1242,Kollur Road,2,0
1210,Aminpur,2,1
1630,Dammaiguda,3,1
990,Dammaiguda,2,1
1450,Bachupally,3,0
1000,Chintradripet,2,0
950,Ring Road,2,1
1050,Hyder Nagar,2,0
1400,Saket,2,1
1050,Hyder Nagar,2,0
1200,Begumpet,2,1
4150,Kavuri Hills,4,0
1500,Sun City,5,1
1530,Madhapur,3,1
1250,Ashok Nagar,3,0
1296,manneguda,2,1
998,Shaikpet,2,1
1850,Moti Nagar,4,0
1115,Miyapur,2,0
2630,Hitech City,3,1
500,Sanath Nagar,2,1
1085,Hafeezpet,2,0
1325,Gachibowli,2,0
1200,Kollur Road,2,0
1201,Kollur Road,2,0
1260,Kollur Road,2,0
1103,Kondapur,2,0
1106,Kondapur,2,0
1000,Adibatla,2,0
1360,Kukatpally,2,0
1740,Kukatpally,3,0
920,Boduppal,3,1
1200,AS Rao Nagar,2,1
1440,AS Rao Nagar,3,1
1010,Sainikpuri,2,1
1080,Sainikpuri,2,1
1950,Kompally,3,0
1834,Manikonda,3,1
2200,Shaikpet,3,1
1133,Shaikpet,2,1
1650,Serilingampally,3,1
2600,Jubilee Hills,3,0
1100,Adibatla,2,0
1002,Adibatla,2,0
500,Kokapet,2,0
1000,Adibatla,2,0
1075,Usman Nagar,2,0
1100,new nallakunta,2,1
1120,Gachibowli,2,1
1200,Shadnagar,2,1
1200,Shadnagar,2,1
1120,Shadnagar,2,1
1295,Kondapur,2,0
1490,Kondapur,3,1
1270,Kokapet,2,0
1100,nizampet road,2,0
1134,Adibatla,2,1
1190,Bongloor,2,1
1050,Uppal,2,1
710,Adibatla,1,1
1390,Adibatla,3,1
1978,Uppal,3,1
1360,Mailardevpally,3,0
2000,Kukatpally,3,1
3537,Jubilee Hills,3,1
1100,Suchitra,2,0
1210,Uppalguda,2,0
1935,Narsingi,3,1
1080,Tirumalgiri,2,1
1200,Tirumalgiri,2,1
1905,Chikkadapally,3,0
1570,Begumpet,3,1
1570,Begumpet,3,1
1800,Gachibowli,3,1
1700,Gachibowli,3,1
1600,Narsingi,3,1
1655,Narsingi,3,1
1800,Manikonda,3,1
1300,Manikonda,2,1
1207,Kollur Road,2,0
3430,Hitech City,4,1
2160,Gachibowli,3,1
3430,Hitech City,3,1
3430,Hitech City,4,1
2655,Madhapur,3,1
861,Hyder Nagar,2,1
3152,Miyapur,4,0
1650,Serilingampally,3,1
1550,JNTU,3,0
1030,hyderabad,2,1
3550,Shamshabad,3,1
2983,Srisailam Highway,4,1
2225,Kondapur,3,1
4160,Shaikpet,4,1
1900,Domalguda,3,0
1105,Domalguda,2,0
1150,Lingampalli,2,0
1625,Residential Flat Machavaram,3,1
4600,Film Nagar,4,1
2120,Hitech City,3,1
2103,Kondapur,3,1
1760,Narsingi,3,1
1150,Allwyn Colony,2,0
1150,Lingampalli,2,0
1700,Jubilee Hills,3,0
2232,Kukatpally,3,1
1740,Kukatpally,3,0
1592,Kukatpally,3,0
1360,Kukatpally,2,0
1208,Kukatpally,2,0
1200,Bandlaguda Jagir,2,1
2160,Hitech City,3,1
1834,Manikonda,3,1
1650,Boduppal,3,0
1180,Whisper Valley,2,1
1200,Whisper Valley,2,1
1220,Whisper Valley,2,1
1180,Whisper Valley,2,1
1200,Whisper Valley,2,1
1140,Tukkuguda Airport View Point Road,2,1
1140,Tukkuguda Airport View Point Road,2,0
3975,Madhapur,5,0
2655,Madhapur,3,0
1160,Santoshnagar,3,1
1570,Tolichowki,2,1
1725,Begumpet,3,0
1725,Begumpet,3,1
1725,Begumpet,3,0
1725,Begumpet,3,1
1570,Begumpet,3,0
2644,Gachibowli,3,0
965,Uppal Kalan,2,0
1850,Manikonda,4,0
1000,Kokapet,2,0
1310,LB Nagar,3,0
2150,Domalguda Road,3,0
1150,Balanagar,2,0
1150,Gachibowli,2,0
1150,Kondapur,2,0
1150,Kukatpally,2,0
1150,KPHB,2,0
1945,Narsingi,3,1
1360,Kukatpally,2,1
1150,Balanagar,2,0
1150,Gachibowli,2,0
1150,Kondapur,2,0
1150,Kukatpally,2,0
1150,KPHB,2,0
1150,KPHB,2,0
1150,Nizampet,2,0
1150,Allwyn Colony,2,0
1150,Aminpur,2,0
1150,Bachupally,2,0
1150,Miyapur,2,0
1150,Chandanagar,2,0
1150,Patancheru,2,0
1150,Shankarpalli,2,0
1150,Mallampet,2,0
1269,Old Bowenpally,2,1
1200,Narsingi,2,0
1100,Narsingi,2,0
1150,Chandanagar,2,0
1150,Aminpur,2,0
1150,Miyapur,2,0
1150,Balanagar,2,0
1150,Gachibowli,2,0
1150,Hitech City,2,0
1150,Madhapur,2,0
1150,Kondapur,2,0
1150,KPHB,2,0
1200,Narsingi,2,0
1100,Narsingi,2,0
1600,Gopanpally,3,1
1510,Bolarum,3,0
1365,Bolarum,3,0
1691,Chaitanyapuri,3,0
1725,Begumpet,3,0
4070,Madhapur,4,1
3430,Madhapur,3,1
1100,Manikonda,2,0
1450,Tarnaka,3,1
3434,Gachibowli,4,1
1314,Manikonda,2,1
3474,Banjara Hills,4,0
4600,Jubilee Hills,4,1
1250,Kothapet,2,1
2100,Himayat Nagar,3,1
1150,Baghlingampally,2,1
4070,Madhapur,4,1
1695,Kukatpally,3,1
2460,Nanakramguda,3,1
2000,Kondapur,3,1
3695,Banjara Hills,4,1
2220,Nanakramguda,3,1
1822,Picket,3,1
1595,Sainikpuri,3,1
1535,East Marredpally,3,0
1665,Kollur,3,0
1278,Kukatpally,2,1
2600,Kukatpally,4,1
2500,Hitech City,3,0
1535,East Marredpally,3,0
2460,Nanakramguda,3,1
2270,Nanakramguda,3,0
1600,Nanakramguda,3,0
1000,Safilguda,2,1
1180,Nizampet,2,0
1100,Bachupally,2,1
3180,Gachibowli,3,1
1691,Chaitanyapuri,3,0
1691,Chaitanyapuri,3,1
1691,Chaitanyapuri,3,1
5440,Nanakramguda,4,1
2850,Jubilee Hills,3,0
3556,Banjara Hills,4,1
1300,Ashok Nagar,3,1
1050,Trimalgherry,2,1
2566,Manikonda,4,1
1100,Trimalgherry,2,1
1980,Sikh Village,3,1
1436,Old Bowenpally,3,1
4000,West Marredpally,4,1
1000,Neredmet,2,1
1050,Trimalgherry,2,1
2644,Gachibowli,3,0
2813,Kothaguda,3,0
2815,Kothaguda,3,0
1300,Macha Bolarum,2,1
4320,Gopanpally,4,0
1450,Kukatpally,3,0
1331,Alkapur township,2,1
2650,Kothaguda,3,1
1570,Begumpet,3,0
2160,Hitech City,3,1
1580,Hitech City,3,1
2160,Hitech City,3,1
970,Manikonda,2,1
800,Kachiguda,2,1
1358,Himayat Nagar,3,0
1145,Nizampet,2,0
2000,Domalguda,3,0
2075,East Marredpally,3,0
1600,Malkajgiri,3,0
1230,Kowkur,2,1
1060,East Marredpally,2,1
3325,Gachibowli,3,1
1822,West Marredpally,3,1
2115,West Marredpally,3,1
880,Safilguda,2,1
925,Malkajgiri,2,1
1554,Yapral,3,0
1000,Patancheru Shankarpalli Road,2,0
1650,Patancheru Shankarpalli Road,3,0
1475,Patancheru Shankarpalli Road,3,0
1450,Patancheru Shankarpalli Road,3,0
4730,Banjara Hills,4,1
1645,Uppalguda,3,1
1605,Uppalguda,3,1
1725,Begumpet,3,0
1525,Begumpet,3,0
1525,Begumpet,3,0
3883,Kothaguda,4,1
5440,Nanakramguda,4,1
3031,Hitech City,4,0
1860,Nallagandla Gachibowli,3,1
1875,Puppalaguda,3,0
2008,Gachibowli,3,0
1290,Gopanpally,2,1
2160,Hitech City,3,1
1000,Rakshapuram,3,1
1150,Bachupally,2,0
1170,Nizampet,2,0
4305,Madhapur,4,0
2800,Kondapur,3,0
1500,west venkatapuram,3,0
1620,Gajulramaram Kukatpally,3,0
1368,Gajulramaram Kukatpally,3,0
1090,Kukatpally,2,0
1230,Kukatpally,2,0
1435,Kukatpally,3,0
1115,Miyapur,2,0
1945,Miyapur,3,0
1616,Vidyanagar Adikmet,3,1
1100,Suchitra,2,0
1300,Miyapur,2,1
2690,Gachibowli,3,0
2750,Gachibowli,3,0
1834,Manikonda,3,1
1091,Puppalaguda,2,1
1500,Aushapur,3,1
1500,Aushapur,3,0
1834,Manikonda,3,1
1920,Miyapur,3,0
1425,Miyapur,2,0
1220,Nizampet,2,0
1615,Boduppal,3,0
1540,Barkatpura,3,1
1400,East Marredpally,2,1
1200,Suchitra,2,0
1425,Old Alwal,3,1
1580,Secunderabad Railway Station Road,2,1
1844,Nallagandla Gachibowli,3,0
2120,Nallagandla Gachibowli,3,0
1000,KPHB,2,0
965,KPHB,2,0
2500,Rajendra Nagar,4,1
1100,Balapur,2,1
875,Karmanghat,2,1
1610,Hastinapur,3,0
1420,new nallakunta,3,0
2460,Nanakramguda,3,1
3250,Hitech City,4,1
1100,Yapral,2,1
1100,Yapral,2,1
1735,Kokapet,3,1
1510,Puppalaguda,2,0
1320,Puppalaguda,2,0
2175,Puppalaguda,3,0
1980,Puppalaguda,3,0
1560,Puppalaguda,3,0
2000,Puppalaguda,3,0
2005,Puppalaguda,3,0
1340,Puppalaguda,2,0
1880,Puppalaguda,3,0
1415,Puppalaguda,2,0
2180,Puppalaguda,3,0
2190,Puppalaguda,3,0
1600,Puppalaguda,3,0
2260,Hitech City,3,0
2015,Hitech City,3,0
1250,Kollur Road,2,0
1001,Miyapur,2,0
1551,chandrayangutta,3,0
3000,Jubilee Hills,3,1
1245,Kollur Road,2,0
1100,Attapur,2,0
1725,Kompally,3,0
1435,Kukatpally,3,0
1090,Kukatpally,2,0
1230,Kukatpally,2,0
1200,Balaji Hills Colony Venkatraya Nagar,2,0
1150,Nizampet,2,0
1600,Chandanagar,3,0
1250,Chandanagar,2,0
1905,Miyapur,3,0
1925,Miyapur,3,0
2300,Manikonda,4,1
1045,Chandanagar,2,0
3190,Madhapur,3,1
1800,Beeramguda,2,0
1665,Kollur Road,3,0
2000,Beeramguda,3,0
1005,Beeramguda,3,0
1007,Beeramguda,2,0
1001,Beeramguda,2,0
1002,Beeramguda,2,0
1655,Kollur Road,3,0
1650,Kollur Road,3,0
1742,Nallagandla Gachibowli,3,0
2010,Nallagandla Gachibowli,3,0
2380,Nallagandla Gachibowli,3,0
1045,Dilsukh Nagar,2,1
1630,Kondapur,3,0
1885,Kondapur,3,0
1165,Kondapur,2,0
4320,Gachibowli,5,1
1900,Kondapur,3,0
3600,Toli Chowki,4,1
1700,Nizampet,2,1
1060,LB Nagar,2,0
1100,Qutub Shahi Tombs,2,1
1450,Masab Tank,3,0
4000,Himayat Nagar,5,1
1460,Narsingi,2,0
1093,Pragathi Nagar Kukatpally,2,0
1000,Adibatla,2,0
1080,Janachaitanya Colony,2,1
2220,Nanakramguda,3,1
1250,Gurramguda,2,0
1945,Gachibowli,3,0
2815,Kondapur,3,0
1945,Gachibowli,3,0
2220,Nanakramguda,3,1
2225,Kondapur,3,1
1880,Kondapur,3,1
1146,Bachupally,2,0
2460,Manikonda,3,0
1600,Nanakramguda,3,0
1245,Nanakramguda,2,1
3405,Madhapur,3,1
1860,Nallagandla Gachibowli,3,0
2585,Bagh Amberpet,3,0
1197,Kapra,2,1
1485,Tilak Nagar,3,0
1250,Nallakunta,3,1
1550,Nallakunta,3,1
1250,Nallakunta,3,1
1887,Paradise Circle,2,1
1400,Nacharam,3,1
1050,Nacharam,2,0
1860,Nacharam,4,1
1200,Tarnaka,2,1
1100,Nacharam,2,1
1050,Nacharam,2,0
1050,Nacharam,1,1
1000,Nacharam,2,1
1800,Habsiguda,2,0
961,Nacharam,2,1
1650,Habsiguda,2,0
1550,Habsiguda,2,0
1260,Nacharam,1,1
950,Nacharam,1,1
1060,Uppal,2,1
1000,Nacharam,1,1
1460,Nacharam,2,1
1314,Manikonda,2,1
2625,Madhapur,3,1
2050,Hitech City,3,0
1805,Narsingi,3,0
